baseline,metric,dataset,observed_diff,n,percentile_ci_lo,percentile_ci_hi,percentile_significant,bca_ci_lo,bca_ci_hi,bca_significant,conclusion_changes
MIND,LT-Recall@10,Amazon Books,0.013965059708093764,1292,0.007529807975821911,0.020931003980539584,True,0.007906494181447909,0.021406205240082445,True,False
ComiRec (SA),LT-Recall@10,Amazon Books,0.0075796107916850965,1292,-0.0001146247972873367,0.015448686053368712,False,7.872604404018807e-05,0.015630261701232284,True,True
