decile,essence_recall@10,cf_itemknn_recall@10,n
1,0.005575647980711271,0.0,474
2,0.006309148264984227,0.00473186119873817,317
3,0.0,0.0,150
4,0.0,0.0,155
5,0.003968253968253968,0.000992063492063492,336
6,0.00341235632183908,0.0017959770114942526,464
7,0.002097902097902098,0.004195804195804196,715
8,0.003831417624521073,0.002281947261663286,986
9,0.004140268410654677,0.0007749165474487363,1398
10,0.004966433661771925,0.1176981515533524,1935
