system,dataset,recall@10,lt_recall@10,n_users,n_lt_users,train_seconds,epochs_run,best_val_loss,lr,seed,K,embed_init
MIND (randominit),lastfm,0.0006937968818454,0.0007246376811594,99,92,25.475815296173096,6,4.599055290222168,0.001,42,4,random
ComiRec (SA) (randominit),lastfm,0.0005503848599047412,0.0008361204013377927,99,92,43.54666781425476,11,4.493165493011475,0.001,42,4,random
