N,recall@10,lt_recall@10,n_users,n_lt_users
5,0.0017134070875166438,0.0008361204013377927,99,92
10,0.001888223169641521,0.0,99,92
20,0.001895285842678484,0.0,99,92
50,0.0019586246137655587,0.002173913043478261,99,92
100,0.0017361218920120126,0.003985507246376812,99,92
unrestricted,0.0017560150543282649,0.0,99,92
