user_id,system,recall@10,long_tail_recall@10
user_000008,ComiRec (SA),0.072289156626506,0.2142857142857142
user_000014,ComiRec (SA),0.0,0.0
user_000045,ComiRec (SA),0.0,0.0
user_000048,ComiRec (SA),0.0,0.0
user_000049,ComiRec (SA),0.0,0.0
user_000057,ComiRec (SA),0.0126582278481012,0.0
user_000077,ComiRec (SA),0.0,0.0
user_000080,ComiRec (SA),0.0348837209302325,0.0
user_000088,ComiRec (SA),0.0,nan
user_000098,ComiRec (SA),0.0,nan
user_000099,ComiRec (SA),0.0,nan
user_000101,ComiRec (SA),0.0,0.0
user_000106,ComiRec (SA),0.0,0.0
user_000140,ComiRec (SA),0.0,0.0
user_000143,ComiRec (SA),0.0172413793103448,0.0
user_000146,ComiRec (SA),0.037037037037037,0.0
user_000157,ComiRec (SA),0.048780487804878,0.0
user_000171,ComiRec (SA),0.0,0.0
user_000176,ComiRec (SA),0.0,0.0
user_000183,ComiRec (SA),0.0,0.0
user_000184,ComiRec (SA),0.0,0.0
user_000192,ComiRec (SA),0.0,0.0
user_000204,ComiRec (SA),0.0,0.0
user_000225,ComiRec (SA),0.0,0.0
user_000228,ComiRec (SA),0.0,0.0
user_000232,ComiRec (SA),0.0,0.0
user_000247,ComiRec (SA),0.1351351351351351,0.0
user_000272,ComiRec (SA),0.0,0.0
user_000282,ComiRec (SA),0.0,0.0
user_000286,ComiRec (SA),0.0,0.0
user_000301,ComiRec (SA),0.0555555555555555,0.0
user_000308,ComiRec (SA),0.4615384615384615,nan
user_000321,ComiRec (SA),0.0,0.0
user_000328,ComiRec (SA),0.0326086956521739,0.0
user_000333,ComiRec (SA),0.0,0.0
user_000335,ComiRec (SA),0.03125,0.0
user_000336,ComiRec (SA),0.0,0.0
user_000352,ComiRec (SA),0.0,0.0
user_000364,ComiRec (SA),0.0,0.0
user_000368,ComiRec (SA),0.0,0.0
user_000375,ComiRec (SA),0.0,0.0
user_000386,ComiRec (SA),0.0,0.0
user_000399,ComiRec (SA),0.0,0.0
user_000402,ComiRec (SA),0.0,0.0
user_000406,ComiRec (SA),0.0,0.0
user_000408,ComiRec (SA),0.0,0.0
user_000410,ComiRec (SA),0.0,0.0
user_000416,ComiRec (SA),0.0,0.0
user_000419,ComiRec (SA),0.0,0.0
user_000435,ComiRec (SA),0.0476190476190476,0.0
user_000448,ComiRec (SA),0.0,0.0
user_000455,ComiRec (SA),0.0,0.0
user_000473,ComiRec (SA),0.0,0.0
user_000487,ComiRec (SA),0.0,0.0
user_000519,ComiRec (SA),0.0,0.0
user_000526,ComiRec (SA),0.0,0.0
user_000541,ComiRec (SA),0.0,0.0
user_000547,ComiRec (SA),0.0,nan
user_000548,ComiRec (SA),0.0,0.0
user_000556,ComiRec (SA),0.0,0.0
user_000560,ComiRec (SA),0.0,0.0
user_000561,ComiRec (SA),0.0,0.0
user_000563,ComiRec (SA),0.0,0.0
user_000567,ComiRec (SA),0.0,0.0
user_000597,ComiRec (SA),0.0,0.0
user_000608,ComiRec (SA),0.0,0.0
user_000638,ComiRec (SA),0.0,0.0
user_000657,ComiRec (SA),0.0,0.0
user_000664,ComiRec (SA),0.0116279069767441,0.0
user_000674,ComiRec (SA),0.0181818181818181,0.0
user_000677,ComiRec (SA),0.0,0.0
user_000723,ComiRec (SA),0.0357142857142857,0.0
user_000736,ComiRec (SA),0.0,0.0
user_000748,ComiRec (SA),0.0117647058823529,0.0
user_000759,ComiRec (SA),0.0,0.0
user_000777,ComiRec (SA),0.0210526315789473,0.0
user_000784,ComiRec (SA),0.0,0.0
user_000785,ComiRec (SA),0.0,0.0
user_000786,ComiRec (SA),0.0108695652173913,0.0
user_000796,ComiRec (SA),0.0,0.0
user_000805,ComiRec (SA),0.0,0.0
user_000817,ComiRec (SA),0.0461538461538461,nan
user_000843,ComiRec (SA),0.0,0.0
user_000846,ComiRec (SA),0.0,0.0
user_000853,ComiRec (SA),0.0158730158730158,0.25
user_000855,ComiRec (SA),0.0869565217391304,nan
user_000859,ComiRec (SA),0.0185185185185185,0.0
user_000864,ComiRec (SA),0.0,0.0
user_000883,ComiRec (SA),0.0,0.0
user_000907,ComiRec (SA),0.0,0.0
user_000916,ComiRec (SA),0.0,0.0
user_000948,ComiRec (SA),0.0,0.0
user_000955,ComiRec (SA),0.037037037037037,0.0
user_000956,ComiRec (SA),0.0,0.0
user_000967,ComiRec (SA),0.0210526315789473,0.0
user_000972,ComiRec (SA),0.0309278350515463,0.0
user_000982,ComiRec (SA),0.0,0.0
user_000985,ComiRec (SA),0.0,0.0
user_000996,ComiRec (SA),0.0,0.0
user_000008,MIND,0.024096385542168676,0.0
user_000014,MIND,0.0,0.0
user_000045,MIND,0.0,0.0
user_000048,MIND,0.0,0.0
user_000049,MIND,0.0,0.0
user_000057,MIND,0.02531645569620253,0.0
user_000077,MIND,0.0,0.0
user_000080,MIND,0.0,0.0
user_000088,MIND,0.037037037037037035,
user_000098,MIND,0.0,
user_000099,MIND,0.04225352112676056,
user_000101,MIND,0.0,0.0
user_000106,MIND,0.0,0.0
user_000140,MIND,0.0,0.0
user_000143,MIND,0.0,0.0
user_000146,MIND,0.037037037037037035,0.0
user_000157,MIND,0.07317073170731707,0.0
user_000171,MIND,0.0,0.0
user_000176,MIND,0.011904761904761904,0.0
user_000183,MIND,0.0,0.0
user_000184,MIND,0.0,0.0
user_000192,MIND,0.0,0.0
user_000204,MIND,0.0,0.0
user_000225,MIND,0.02197802197802198,0.0
user_000228,MIND,0.0,0.0
user_000232,MIND,0.0,0.0
user_000247,MIND,0.02702702702702703,0.0
user_000272,MIND,0.0,0.0
user_000282,MIND,0.0,0.0
user_000286,MIND,0.0,0.0
user_000301,MIND,0.0,0.0
user_000308,MIND,0.0,
user_000321,MIND,0.0,0.0
user_000328,MIND,0.06521739130434782,0.1935483870967742
user_000333,MIND,0.0,0.0
user_000335,MIND,0.0,0.0
user_000336,MIND,0.0,0.0
user_000352,MIND,0.0,0.0
user_000364,MIND,0.0,0.0
user_000368,MIND,0.0,0.0
user_000375,MIND,0.0,0.0
user_000386,MIND,0.0,0.0
user_000399,MIND,0.0,0.0
user_000402,MIND,0.0,0.0
user_000406,MIND,0.0,0.0
user_000408,MIND,0.0,0.0
user_000410,MIND,0.0,0.0
user_000416,MIND,0.0,0.0
user_000419,MIND,0.0,0.0
user_000435,MIND,0.0,0.0
user_000448,MIND,0.01020408163265306,0.0
user_000455,MIND,0.0,0.0
user_000473,MIND,0.0,0.0
user_000487,MIND,0.0,0.0
user_000519,MIND,0.0,0.0
user_000526,MIND,0.0,0.0
user_000541,MIND,0.0,0.0
user_000547,MIND,0.0,
user_000548,MIND,0.0,0.0
user_000556,MIND,0.0,0.0
user_000560,MIND,0.0,0.0
user_000561,MIND,0.26666666666666666,0.0
user_000563,MIND,0.0,0.0
user_000567,MIND,0.012195121951219513,0.0
