n,a_mean,b_mean,observed_diff,cohens_d,p_two_sided,dataset,decile,q_bh_familyC,sig_familyC
99,0.022083863363012397,0.0,0.022083863363012397,0.2463427931395414,0.0,Last.fm-1K,1,0.0,True
99,0.03517081536802361,0.0,0.03517081536802361,0.3505158231669594,0.0,Last.fm-1K,2,0.0,True
1482,0.021509601465863195,0.0,0.021509601465863195,0.2282522522528586,0.0,Amazon Books,1,0.0,True
1524,0.022373511672361648,0.0004101049868766404,0.021963406685485007,0.1929500030639903,0.0,Amazon Books,2,0.0,True
474,0.00921237693389592,0.0,0.00921237693389592,0.10752581274877168,0.0016000000000000458,MovieLens-25M,1,0.001920000000000055,True
317,0.0028714713257300003,0.00473186119873817,-0.00186038987300817,-0.026015734151052516,0.667,MovieLens-25M,2,0.6670000000000001,False
