dataset,metric,essence_system,baseline_system,essence_mean,baseline_mean,observed_diff,ci_lo,ci_hi,frac_resamples_diff_gt_0,cohens_d_paired,n_paired_users
Amazon Books (random-init ablation),Recall@10,Essence (K=3),ComiRec (SA) (randominit),0.022122,0.003293,0.018829,0.015281,0.022627,1.0000,0.2194,2000
Amazon Books (random-init ablation),Recall@10,Essence (K=3),MIND (randominit),0.022122,0.005079,0.017042,0.013238,0.021160,1.0000,0.1920,2000
Amazon Books (random-init ablation),LT-Recall@10,Essence (K=3),ComiRec (SA) (randominit),0.019706,0.010965,0.008741,0.001143,0.016739,0.9882,0.0609,1292
Amazon Books (random-init ablation),LT-Recall@10,Essence (K=3),MIND (randominit),0.019706,0.003986,0.015719,0.009347,0.022544,1.0000,0.1280,1292
