system,dataset,recall@10,lt_recall@10,n_users,n_lt_users,train_seconds,epochs_run,best_val_loss,lr,seed,K,embed_init
ComiRec (SA) (seed2),lastfm,0.0110836466352761,0.0025362318840579,99,92,48.89240121841431,11,3.9290342330932617,0.001,2,4,pretrained
MIND (seed2),lastfm,0.006384462559607251,0.003973819541841983,99,92,25.25702714920044,6,4.451741695404053,0.001,2,4,pretrained
