system,dataset,recall@10,lt_recall@10,n_users,n_lt_users,train_seconds,epochs_run,best_val_loss,lr,seed,K,embed_init
MIND (seed3),amazon,0.0048986399679586,0.0053995282323455,2000,1292,85.97921991348267,6,4.399909553527832,0.001,3,4,pretrained
ComiRec (SA) (seed3),amazon,0.007214875375169493,0.01498968008255934,2000,1292,105.09904193878174,8,3.9748593826293943,0.001,3,4,pretrained
