system,dataset,recall@10,lt_recall@10,n_users,n_lt_users,train_seconds,epochs_run,best_val_loss,lr,seed,K,embed_init
MIND (K3),lastfm,0.0063980493575022,0.0017531556802244,99,92,26.249473094940186,6,4.4381937980651855,0.001,42,3,pretrained
ComiRec (SA) (K3),lastfm,0.013766603873193213,0.004528985507246376,99,92,33.38094520568848,9,4.024598598480225,0.001,42,3,pretrained
