system,dataset,recall@10,lt_recall@10,n_users,n_lt_users,train_seconds,epochs_run,best_val_loss,lr,seed,K,embed_init
ComiRec (SA),lastfm,0.0136598709551621,0.0050465838509316,99,92,21.81157398223877,9,3.917958259582519,,,,
MIND,lastfm,0.007816468682142048,0.0021037868162692847,99,92,26.211650133132935,6,4.4580230712890625,0.001,42,4,pretrained
