system,dataset,recall@10,lt_recall@10,n_users,n_lt_users,train_seconds,epochs_run,best_val_loss,lr,seed,K,embed_init
ComiRec (SA) (seed1),lastfm,0.0127576491333193,0.0,99,92,37.79545497894287,10,4.003963947296143,0.001,1,4,pretrained
MIND (seed1),lastfm,0.007690256632126581,0.0015459645543797016,99,92,27.351850032806396,6,4.443023204803467,0.001,1,4,pretrained
