dataset,decile,observed_diff,cohens_d,frac_gt0,p_two_sided,n,q_value_bh,significant_after_fdr
Last.fm,2,0.017156,0.215,1.0,0.0,99,0.0,True
Amazon,1,0.017467,0.2012,1.0,0.0,1482,0.0,True
Amazon,2,0.017212,0.1853,1.0,0.0,1524,0.0,True
Last.fm,1,0.008635,0.2223,0.9999,0.00019999999999997797,99,0.00029999999999996696,True
MovieLens,1,0.005576,0.0807,0.9792,0.04160000000000008,474,0.049920000000000096,True
MovieLens,2,0.001577,0.0169,0.5604,0.8792,317,0.8792,False
