decile,baseline,observed_diff,n,percentile_ci_lo,percentile_ci_hi,percentile_significant,bca_ci_lo,bca_ci_hi,bca_significant,conclusion_changes
1,Last-Item,-0.012358434416828431,1482,-0.019139275272348096,-0.005548640418433158,True,-0.01930862286925477,-0.005745504257719996,True,False
1,Recency-Weighted,-0.004256805572595047,1482,-0.008285992759676971,-0.00010194301312722272,True,-0.008492354793156756,-0.0002452405333414142,True,False
2,Last-Item,-0.007478138352568522,1524,-0.013435847437738237,-0.0018164617664073767,True,-0.013535822480715632,-0.0019315698987092294,True,False
2,Recency-Weighted,-0.007170537306778503,1524,-0.012060512253801208,-0.002521248738483507,True,-0.012476579205701789,-0.0027753645913207135,True,False
