dataset,metric,essence_system,baseline_system,essence_mean,baseline_mean,observed_diff,ci_lo,ci_hi,frac_resamples_diff_gt_0,cohens_d_paired,n_paired_users
MovieLens-25M + BPR-MF,Recall@10,Essence (K=15),Random,0.005281,0.001174,0.004107,0.002722,0.005673,1.0000,0.1224,2000
MovieLens-25M + BPR-MF,Recall@10,Essence (K=15),Popularity,0.005281,0.051728,-0.046447,-0.051110,-0.041756,0.0000,-0.4316,2000
MovieLens-25M + BPR-MF,Recall@10,Essence (K=15),CF (ItemKNN),0.005281,0.085047,-0.079766,-0.086393,-0.073431,0.0000,-0.5503,2000
MovieLens-25M + BPR-MF,Recall@10,Essence (K=15),Content (Avg Emb),0.005281,0.004260,0.001020,-0.000607,0.002757,0.8803,0.0266,2000
MovieLens-25M + BPR-MF,Recall@10,Essence (K=15),Last-Item,0.005281,0.009066,-0.003785,-0.005830,-0.001766,0.0001,-0.0817,2000
MovieLens-25M + BPR-MF,Recall@10,Essence (K=15),Avg-Last-10,0.005281,0.006395,-0.001115,-0.002757,0.000616,0.0967,-0.0296,2000
MovieLens-25M + BPR-MF,Recall@10,Essence (K=15),Recency-Weighted,0.005281,0.007604,-0.002324,-0.004072,-0.000554,0.0047,-0.0582,2000
MovieLens-25M + BPR-MF,Recall@10,Essence (K=15),MIND,0.005281,0.042288,-0.037007,-0.041345,-0.032731,0.0000,-0.3779,2000
MovieLens-25M + BPR-MF,Recall@10,Essence (K=15),ComiRec (SA),0.005281,0.070611,-0.065331,-0.071010,-0.059809,0.0000,-0.5096,2000
MovieLens-25M + BPR-MF,Recall@10,Essence (K=15),BPR-MF,0.005281,0.064704,-0.059423,-0.064517,-0.054421,0.0000,-0.5178,2000
MovieLens-25M + BPR-MF,LT-Recall@10,Essence (K=15),Random,0.002976,0.000000,0.002976,0.000000,0.008163,0.9453,0.0621,490
MovieLens-25M + BPR-MF,LT-Recall@10,Essence (K=15),Popularity,0.002976,0.000000,0.002976,0.000000,0.008163,0.9503,0.0621,490
MovieLens-25M + BPR-MF,LT-Recall@10,Essence (K=15),CF (ItemKNN),0.002976,0.003741,-0.000765,-0.007143,0.005527,0.3885,-0.0107,490
MovieLens-25M + BPR-MF,LT-Recall@10,Essence (K=15),Content (Avg Emb),0.002976,0.002041,0.000935,0.000000,0.002636,0.8648,0.0582,490
MovieLens-25M + BPR-MF,LT-Recall@10,Essence (K=15),Last-Item,0.002976,0.003061,-0.000085,-0.006207,0.006122,0.4691,-0.0012,490
MovieLens-25M + BPR-MF,LT-Recall@10,Essence (K=15),Avg-Last-10,0.002976,0.002551,0.000425,-0.000765,0.002041,0.6082,0.0264,490
MovieLens-25M + BPR-MF,LT-Recall@10,Essence (K=15),Recency-Weighted,0.002976,0.004592,-0.001616,-0.005102,0.001190,0.1493,-0.0452,490
MovieLens-25M + BPR-MF,LT-Recall@10,Essence (K=15),MIND,0.002976,0.000000,0.002976,0.000000,0.007823,0.9517,0.0621,490
MovieLens-25M + BPR-MF,LT-Recall@10,Essence (K=15),ComiRec (SA),0.002976,0.001361,0.001616,-0.002466,0.006975,0.7224,0.0302,490
MovieLens-25M + BPR-MF,LT-Recall@10,Essence (K=15),BPR-MF,0.002976,0.000000,0.002976,0.000000,0.008163,0.9546,0.0621,490
