analysis,K,seed,n_users,n_lt_users,recall@10,lt_recall@10
K_sweep,2,42,2000,1292,0.021415473001045522,0.0181390977443609
K_sweep,3,42,2000,1292,0.022121765036539516,0.019705513784461153
K_sweep,4,42,2000,1292,0.022812762159315554,0.016240970072239423
K_sweep,5,42,2000,1292,0.02417388489398475,0.01635891198584697
seed_variance,3,0,2000,1292,0.02305315176270178,0.014610054548135043
seed_variance,3,1,2000,1292,0.021036501624438934,0.017429603420315496
seed_variance,3,2,2000,1292,0.022040500600211885,0.013191065900044227
seed_variance,3,3,2000,1292,0.022177333394745858,0.018673522040395105
seed_variance,3,4,2000,1292,0.023573804895291862,0.01744803184431667
seed_variance,3,5,2000,1292,0.02420550498743404,0.01710710600029486
seed_variance,3,6,2000,1292,0.02389749191033477,0.01723610496830311
seed_variance,3,7,2000,1292,0.022793278531121387,0.016885964912280702
seed_variance,3,8,2000,1292,0.023269499961402887,0.02054400707651482
seed_variance,3,9,2000,1292,0.023265660905306403,0.016416040100250627
seed_variance_summary,3,mean,2000,,0.022931272857298977,0.016954150081085067
seed_variance_summary,3,std,2000,,0.0009045585660459043,0.0019069866364895616
