system,dataset,recall@10,lt_recall@10,n_users,n_lt_users,train_seconds,epochs_run,best_val_loss
MIND,amazon,0.0056267024956793,0.007094943240454,2000,1292,84.12489795684814,6,4.399308166503906
ComiRec (SA),amazon,0.005553850600723666,0.012125902992776057,2000,1292,106.47489881515503,8,4.050546863555908
