user_id,silhouette,essence_recall,recency_recall,stratum
user_000008,0.096309066,0.0120481927710843,0.0602409638554216,high
user_000014,0.056016847,0.0,0.0,medium
user_000045,0.042513393,0.0,0.0,medium
user_000048,0.041350108,0.0,0.0,medium
user_000049,0.0029107379,0.0,0.0,low
user_000057,0.06799408,0.0,0.0253164556962025,high
user_000077,0.023976881,0.0,0.0,low
user_000080,0.06330733,0.0,0.0,medium
user_000088,0.055377647,0.037037037037037,0.0,medium
user_000098,0.06629733,0.0,0.0,high
user_000099,0.09477701,0.1408450704225352,0.1408450704225352,high
user_000101,0.13521655,0.2777777777777778,0.2777777777777778,high
user_000106,0.04514917,0.0,0.0,medium
user_000140,0.013118975,0.0,0.0294117647058823,low
user_000143,0.010832666,0.0344827586206896,0.0344827586206896,low
user_000146,0.018043894,0.0,0.0,low
user_000157,0.06453579,0.0975609756097561,0.0975609756097561,high
user_000171,0.0012124497,0.0,0.0,low
user_000176,0.01912125,0.0,0.0,low
user_000183,0.038324203,0.0,0.0,medium
user_000184,0.053414166,0.0,0.0,medium
user_000192,0.01916671,0.0,0.0,low
user_000204,0.040166356,0.0,0.0,medium
user_000225,0.06029398,0.0,0.0,medium
user_000228,0.12720673,0.0,0.0,high
user_000232,0.06433565,0.0,0.0,medium
user_000247,0.1876085,0.1351351351351351,0.1351351351351351,high
user_000272,0.03023592,0.0,0.0,medium
user_000282,0.038048945,0.0,0.0,medium
user_000286,0.03967165,0.0,0.0,medium
user_000301,0.025317429,0.0,0.0,low
user_000308,0.07554301,0.6923076923076923,0.6923076923076923,high
user_000321,0.033295766,0.0,0.0,medium
user_000328,0.08487519,0.0,0.0434782608695652,high
user_000333,0.022705233,0.0,0.0,low
user_000335,0.11248837,0.0,0.03125,high
user_000336,0.021203857,0.0,0.0,low
user_000352,0.14796412,0.0,0.0,high
user_000364,0.012986488,0.0,0.0,low
user_000368,0.010378492,0.0,0.0,low
user_000375,0.04196277,0.0,0.0,medium
user_000386,0.030036986,0.0,0.0,medium
user_000399,0.02921987,0.0,0.0,medium
user_000402,0.011951947,0.0,0.0,low
user_000406,0.03965257,0.0,0.0,medium
user_000408,0.018410414,0.0,0.0,low
user_000410,0.0030308443,0.0,0.0,low
user_000416,0.055961337,0.0,0.0,medium
user_000419,0.06877481,0.0,0.0,high
user_000435,0.12910146,0.1111111111111111,0.1111111111111111,high
user_000448,0.051784355,0.0,0.010204081632653,medium
user_000455,0.016462037,0.0,0.0,low
user_000473,0.08342314,0.0285714285714285,0.0142857142857142,high
user_000487,0.011118926,0.0,0.0,low
user_000519,0.08019011,0.027027027027027,0.0,high
user_000526,0.061870415,0.0153846153846153,0.0769230769230769,medium
user_000541,0.008721574,0.0,0.0,low
user_000547,0.11002049,0.1666666666666666,0.1458333333333333,high
user_000548,0.028145028,0.0333333333333333,0.0,medium
user_000556,0.07881825,0.0,0.0,high
user_000560,0.03699783,0.0,0.0,medium
user_000561,0.034921058,0.4666666666666667,0.4666666666666667,medium
user_000563,0.02065651,0.0,0.0,low
user_000567,0.011148419,0.0,0.0,low
user_000597,0.09179372,0.0,0.0,high
user_000608,0.1548311,0.0,0.0,high
user_000638,0.0077216974,0.0,0.0,low
user_000657,0.008920569,0.0,0.0,low
user_000664,0.0293498,0.0,0.0,medium
user_000674,0.048242535,0.0,0.0181818181818181,medium
user_000677,-8.139102e-05,0.0,0.0,low
user_000723,0.01262839,0.0,0.0,low
user_000736,0.019413307,0.0,0.0,low
user_000748,0.09757349,0.0,0.0,high
user_000759,0.024947109,0.0,0.0,low
user_000777,0.09597633,0.0631578947368421,0.0,high
user_000784,0.057055578,0.0,0.0,medium
user_000785,0.030178564,0.0,0.0,medium
user_000786,0.0495187,0.0,0.0217391304347826,medium
user_000796,0.07622022,0.0,0.0140845070422535,high
user_000805,0.10064692,0.0,0.0,high
user_000817,0.027501428,0.0307692307692307,0.0153846153846153,low
user_000843,0.03652053,0.0,0.0,medium
user_000846,0.11455103,0.0,0.0,high
user_000853,0.083187625,0.0158730158730158,0.0476190476190476,high
user_000855,0.09136225,0.217391304347826,0.3043478260869565,high
user_000859,0.1419015,0.037037037037037,0.0555555555555555,high
user_000864,0.09753349,0.0,0.0,high
user_000883,0.023049258,0.0,0.0,low
user_000907,0.10495894,0.0,0.0,high
user_000916,0.011589608,0.0,0.0,low
user_000948,0.07151876,0.0,0.0,high
user_000955,0.011548004,0.037037037037037,0.074074074074074,low
user_000956,0.030542592,0.0,0.0,medium
user_000967,0.06485859,0.031578947368421,0.0421052631578947,high
user_000972,0.08022074,0.0206185567010309,0.0206185567010309,high
user_000982,0.010637471,0.0,0.0,low
user_000985,0.022714874,0.0,0.0,low
user_000996,0.061195906,0.05,0.0,medium
