dataset,metric,essence_system,baseline_system,essence_mean,baseline_mean,observed_diff,ci_lo,ci_hi,frac_resamples_diff_gt_0,cohens_d_paired,n_paired_users,p_two_sided,q_bh,sig
Last.fm-1K (K=10),Recall@10,Essence (K=10),Random,0.028075,0.000106,0.027969,0.012291,0.048799,1.0,0.3007,99,0.0,0.0,True
Last.fm-1K (K=10),Recall@10,Essence (K=10),Popularity,0.028075,0.002309,0.025765,0.009965,0.046175,1.0,0.2746,99,0.0,0.0,True
Last.fm-1K (K=10),Recall@10,Essence (K=10),CF (ItemKNN),0.028075,0.001756,0.026319,0.010382,0.046755,1.0,0.2812,99,0.0,0.0,True
Last.fm-1K (K=10),Recall@10,Essence (K=10),Content (Avg Emb),0.028075,0.003754,0.02432,0.009373,0.043512,1.0,0.2751,99,0.0,0.0,True
Last.fm-1K (K=10),Recall@10,Essence (K=10),Last-Item,0.028075,0.026458,0.001617,-0.004821,0.008862,0.6679,0.0461,99,0.6641999999999999,0.6641999999999999,False
Last.fm-1K (K=10),Recall@10,Essence (K=10),Avg-Last-10,0.028075,0.025169,0.002906,-0.001408,0.008774,0.8739,0.1093,99,0.2522,0.32425714285714285,False
Last.fm-1K (K=10),Recall@10,Essence (K=10),Recency-Weighted,0.028075,0.030369,-0.002294,-0.005815,0.001223,0.0947,-0.1269,99,0.1894,0.3099272727272728,False
Last.fm-1K (K=10),Recall@10,Essence (K=10),ComiRec (SA),0.028075,0.01366,0.014415,0.003066,0.028222,0.9971,0.2197,99,0.005800000000000027,0.017400000000000082,True
Last.fm-1K (K=10),Recall@10,Essence (K=10),MIND,0.028075,0.007816,0.020258,0.006705,0.038562,1.0,0.2453,99,0.0,0.0,True
Last.fm-1K (K=10),LT-Recall@10,Essence (K=10),Random,0.014241,0.0,0.014241,0.000572,0.035157,0.9853,0.1639,92,0.029400000000000093,0.06929999999999986,False
Last.fm-1K (K=10),LT-Recall@10,Essence (K=10),Popularity,0.014241,0.0,0.014241,0.000572,0.034992,0.9846,0.1639,92,0.03079999999999994,0.06929999999999986,False
Last.fm-1K (K=10),LT-Recall@10,Essence (K=10),CF (ItemKNN),0.014241,0.0,0.014241,0.000572,0.034169,0.9813,0.1639,92,0.0374000000000001,0.0748000000000002,False
Last.fm-1K (K=10),LT-Recall@10,Essence (K=10),Content (Avg Emb),0.014241,0.002942,0.011299,-0.003752,0.031706,0.8954,0.1259,92,0.20920000000000005,0.3138000000000001,False
Last.fm-1K (K=10),LT-Recall@10,Essence (K=10),Last-Item,0.014241,0.00644,0.007802,-0.00303,0.023118,0.8772,0.1193,92,0.24560000000000004,0.32425714285714285,False
Last.fm-1K (K=10),LT-Recall@10,Essence (K=10),Avg-Last-10,0.014241,0.013382,0.000859,-0.001532,0.003693,0.7115,0.0666,92,0.577,0.6429176470588235,False
Last.fm-1K (K=10),LT-Recall@10,Essence (K=10),Recency-Weighted,0.014241,0.015147,-0.000906,-0.004645,0.002548,0.3036,-0.0512,92,0.6072,0.6429176470588235,False
Last.fm-1K (K=10),LT-Recall@10,Essence (K=10),ComiRec (SA),0.014241,0.005047,0.009195,-0.007545,0.03028,0.8258,0.0977,92,0.34840000000000004,0.41808,False
Last.fm-1K (K=10),LT-Recall@10,Essence (K=10),MIND,0.014241,0.002104,0.012138,-0.002647,0.033306,0.9173,0.1356,92,0.1654,0.29772,False
