a_mean,b_mean,n,diff,ci_lo,ci_hi,cohens_d,frac_gt0,p_two_sided,dataset,decile,baseline,q_value_bh,significant_after_fdr
0.024838832428179716,0.0,99,0.024838832428179716,0.011164563992391763,0.04346414426505838,0.3044734872666819,1.0,0.0,Last.fm,1,Recency-Weighted,0.0,True
0.02073193424193522,0.0004101049868766404,1524,0.020321829255058578,0.015078456554053656,0.025895634089253668,0.18976446290811444,1.0,0.0,Amazon,2,Avg-Last-10,0.0,True
0.02510047325614352,0.0004101049868766404,1524,0.02469036826926688,0.01901125981210724,0.030794258602900058,0.21326982216509446,1.0,0.0,Amazon,2,Last-Item,0.0,True
0.024792872210353502,0.0004101049868766404,1524,0.02438276722347686,0.01856057161632355,0.030587890823246637,0.20490937870729303,1.0,0.0,Amazon,2,Recency-Weighted,0.0,True
0.029825783121602303,0.0,1482,0.029825783121602303,0.023849094914397902,0.03610432652415353,0.24736034281371108,1.0,0.0,Amazon,1,Last-Item,0.0,True
0.02172415427736892,0.0,1482,0.02172415427736892,0.01687639877305828,0.026768650520087645,0.2190449370506211,1.0,0.0,Amazon,1,Recency-Weighted,0.0,True
0.018292824685048614,0.0,1482,0.018292824685048614,0.013875080144363262,0.022952359997810576,0.20316483275701824,1.0,0.0,Amazon,1,Avg-Last-10,0.0,True
0.03125343829040635,0.0,99,0.03125343829040635,0.016891589951828743,0.048591771028034095,0.38190915948860815,1.0,0.0,Last.fm,2,Last-Item,0.0,True
0.03805418951890695,0.0,99,0.03805418951890695,0.018166169789403497,0.06311501835829313,0.3318396305540462,1.0,0.0,Last.fm,2,Recency-Weighted,0.0,True
0.02175324946291761,0.0,99,0.02175324946291761,0.008460529567942958,0.0402581508392953,0.2707406451508553,1.0,0.0,Last.fm,1,Avg-Last-10,0.0,True
0.02453366751574056,0.0,99,0.02453366751574056,0.012089451114281228,0.04092057824137673,0.33361731399570793,1.0,0.0,Last.fm,1,Last-Item,0.0,True
0.028068513467077366,0.0,99,0.028068513467077366,0.01286814126794453,0.04722801392985841,0.31708628699487446,1.0,0.0,Last.fm,2,Avg-Last-10,0.0,True
0.005036501239032884,0.0,474,0.005036501239032884,0.0010247136829415308,0.010685821445315116,0.0915402453416219,0.9994,0.0012000000000000899,MovieLens,1,Recency-Weighted,0.001661538461538586,True
0.005786618444846293,0.0,474,0.005786618444846293,0.0005123568414707654,0.012962628089210325,0.0836307081941825,0.9938,0.012399999999999967,MovieLens,1,Avg-Last-10,0.0159428571428571,True
0.0037505860290670415,0.0,474,0.0037505860290670415,0.0002344116268166901,0.009027777777777735,0.07200112002190551,0.9809,0.03820000000000001,MovieLens,1,Last-Item,0.04584000000000001,True
0.0007886435331230284,0.00473186119873817,317,-0.003943217665615142,-0.011849369085173483,0.0015772870662460567,-0.061300166731403774,0.0984,0.1968,MovieLens,2,Last-Item,0.2214,False
0.00473186119873817,0.00473186119873817,317,0.0,-0.00946372239747634,0.007886435331230283,0.0,0.4436,0.8872,MovieLens,2,Avg-Last-10,0.906,False
0.00473186119873817,0.00473186119873817,317,0.0,-0.00946372239747634,0.007886435331230283,0.0,0.453,0.906,MovieLens,2,Recency-Weighted,0.906,False
