system,dataset,recall@10,lt_recall@10,n_users,n_lt_users,train_seconds,epochs_run,best_val_loss,lr,seed,K,embed_init
ComiRec (SA) (seed1),amazon,0.006641501585632,0.0158539731682146,2000,1292,151.99486899375916,8,3.990487762451172,0.001,1,4,pretrained
MIND (seed1),amazon,0.005920803149228007,0.006759545923632612,2000,1292,83.30108189582825,6,4.389668647766113,0.001,1,4,pretrained
