user_id,system,recall@10,long_tail_recall@10
1798,Avg-Last-10,0.0,0.0
1798,Recency-Weighted,0.0,0.0
1798,Essence (K=15),0.0,0.0
1812,Random,0.0,0.0
1812,Popularity,0.06896551724137931,0.0
1812,CF (ItemKNN),0.10344827586206896,0.0
1812,Content (Avg Emb),0.0,0.0
1812,Last-Item,0.034482758620689655,0.0
1812,Avg-Last-10,0.0,0.0
1812,Recency-Weighted,0.0,0.0
1812,Essence (K=15),0.06896551724137931,0.0
1862,Random,0.0,0.0
1862,Popularity,0.0,0.0
1862,CF (ItemKNN),0.0,0.0
1862,Content (Avg Emb),0.0,0.0
1862,Last-Item,0.0,0.0
1862,Avg-Last-10,0.0,0.0
1862,Recency-Weighted,0.0,0.0
1862,Essence (K=15),0.0,0.0
1872,Random,0.0,
1872,Popularity,0.09090909090909091,
1872,CF (ItemKNN),0.09090909090909091,
1872,Content (Avg Emb),0.0,
1872,Last-Item,0.0,
1872,Avg-Last-10,0.0,
1872,Recency-Weighted,0.0,
1872,Essence (K=15),0.0,
2023,Random,0.0,
2023,Popularity,0.08695652173913043,
2023,CF (ItemKNN),0.043478260869565216,
2023,Content (Avg Emb),0.0,
2023,Last-Item,0.0,
2023,Avg-Last-10,0.0,
2023,Recency-Weighted,0.0,
2023,Essence (K=15),0.0,
2045,Random,0.0,
2045,Popularity,0.0,
2045,CF (ItemKNN),0.0,
2045,Content (Avg Emb),0.04,
2045,Last-Item,0.0,
2045,Avg-Last-10,0.04,
2045,Recency-Weighted,0.04,
2045,Essence (K=15),0.0,
2130,Random,0.0,
2130,Popularity,0.0,
2130,CF (ItemKNN),0.0,
2130,Content (Avg Emb),0.0,
2130,Last-Item,0.0,
2130,Avg-Last-10,0.0,
2130,Recency-Weighted,0.0,
2130,Essence (K=15),0.0,
2134,Random,0.0,0.0
2134,Popularity,0.06896551724137931,0.0
2134,CF (ItemKNN),0.13793103448275862,0.0
2134,Content (Avg Emb),0.0,0.0
2134,Last-Item,0.0,0.0
2134,Avg-Last-10,0.0,0.0
2134,Recency-Weighted,0.0,0.0
2134,Essence (K=15),0.0,0.0
2285,Random,0.0,
2285,Popularity,0.4,
2285,CF (ItemKNN),0.6,
2285,Content (Avg Emb),0.0,
2285,Last-Item,0.0,
2285,Avg-Last-10,0.0,
2285,Recency-Weighted,0.0,
2285,Essence (K=15),0.0,
2376,Random,0.0,
2376,Popularity,0.14285714285714285,
2376,CF (ItemKNN),0.0,
2376,Content (Avg Emb),0.0,
2376,Last-Item,0.0,
2376,Avg-Last-10,0.0,
2376,Recency-Weighted,0.0,
2376,Essence (K=15),0.0,
2393,Random,0.0,
2393,Popularity,0.0,
2393,CF (ItemKNN),0.043478260869565216,
2393,Content (Avg Emb),0.0,
2393,Last-Item,0.0,
