dataset,metric,essence_system,baseline_system,essence_mean,baseline_mean,observed_diff,ci_lo,ci_hi,frac_resamples_diff_gt_0,cohens_d_paired,n_paired_users,p_two_sided,q_value_bh,significant_after_fdr,q_bh_familyB,sig_familyB
MovieLens-25M (K=15),Recall@10,Essence (K=15),Random,0.005281,0.001174,0.004107,0.002722,0.005673,1.0,0.1224,2000,0.0,0.0,True,0.0,True
MovieLens-25M (K=15),Recall@10,Essence (K=15),Popularity,0.005281,0.051728,-0.046447,-0.05111,-0.041756,0.0,-0.4316,2000,0.0,0.0,True,0.0,True
MovieLens-25M (K=15),Recall@10,Essence (K=15),CF (ItemKNN),0.005281,0.085047,-0.079766,-0.086393,-0.073431,0.0,-0.5503,2000,0.0,0.0,True,0.0,True
MovieLens-25M (K=15),Recall@10,Essence (K=15),Content (Avg Emb),0.005281,0.00426,0.00102,-0.000607,0.002757,0.8803,0.0266,2000,0.2394,0.3591,False,0.3591,False
MovieLens-25M (K=15),Recall@10,Essence (K=15),Last-Item,0.005281,0.009066,-0.003785,-0.00583,-0.001766,0.0001,-0.0817,2000,0.0002,0.0006,True,0.0006000000000000001,True
MovieLens-25M (K=15),Recall@10,Essence (K=15),Avg-Last-10,0.005281,0.006395,-0.001115,-0.002757,0.000616,0.0967,-0.0296,2000,0.1934,0.3164727272727272,False,0.31647272727272724,False
MovieLens-25M (K=15),Recall@10,Essence (K=15),Recency-Weighted,0.005281,0.007604,-0.002324,-0.004072,-0.000554,0.0047,-0.0582,2000,0.0094,0.0241714285714285,True,0.024171428571428573,True
MovieLens-25M (K=15),Recall@10,Essence (K=15),MIND,0.005281,0.042288,-0.037007,-0.041345,-0.032731,0.0,-0.3779,2000,0.0,0.0,True,0.0,True
MovieLens-25M (K=15),Recall@10,Essence (K=15),ComiRec (SA),0.005281,0.070611,-0.065331,-0.07101,-0.059809,0.0,-0.5096,2000,0.0,0.0,True,0.0,True
MovieLens-25M (K=15),LT-Recall@10,Essence (K=15),Random,0.002976,0.0,0.002976,0.0,0.007993,0.9519,0.0621,490,0.0962,0.18072,False,0.18072000000000002,False
MovieLens-25M (K=15),LT-Recall@10,Essence (K=15),Popularity,0.002976,0.0,0.002976,0.0,0.008163,0.9498,0.0621,490,0.1004,0.18072,False,0.18072000000000002,False
MovieLens-25M (K=15),LT-Recall@10,Essence (K=15),CF (ItemKNN),0.002976,0.003741,-0.000765,-0.007143,0.005697,0.393,-0.0107,490,0.786,0.833929411764706,False,0.833929411764706,False
MovieLens-25M (K=15),LT-Recall@10,Essence (K=15),Content (Avg Emb),0.002976,0.002041,0.000935,0.0,0.002551,0.8646,0.0582,490,0.2707999999999999,0.3749538461538461,False,0.37495384615384597,False
MovieLens-25M (K=15),LT-Recall@10,Essence (K=15),Last-Item,0.002976,0.003061,-8.5e-05,-0.006207,0.006378,0.4788,-0.0012,490,0.9576,0.9576,False,0.9575999999999999,False
MovieLens-25M (K=15),LT-Recall@10,Essence (K=15),Avg-Last-10,0.002976,0.002551,0.000425,-0.000765,0.002041,0.6062,0.0264,490,0.7876000000000001,0.833929411764706,False,0.833929411764706,False
MovieLens-25M (K=15),LT-Recall@10,Essence (K=15),Recency-Weighted,0.002976,0.004592,-0.001616,-0.005102,0.00119,0.1464,-0.0452,490,0.2928,0.3764571428571429,False,0.3764571428571429,False
MovieLens-25M (K=15),LT-Recall@10,Essence (K=15),MIND,0.002976,0.0,0.002976,0.0,0.007993,0.9511,0.0621,490,0.0978000000000001,0.18072,False,0.18072000000000002,False
MovieLens-25M (K=15),LT-Recall@10,Essence (K=15),ComiRec (SA),0.002976,0.001361,0.001616,-0.002381,0.007058,0.731,0.0302,490,0.538,0.6456000000000001,False,0.6456000000000001,False
