dataset,metric,essence_system,baseline_system,essence_mean,baseline_mean,observed_diff,ci_lo,ci_hi,frac_resamples_diff_gt_0,cohens_d_paired,n_paired_users,decile,p_value_raw_two_sided,q_value_bh,significant_after_fdr
Amazon decile 1 vs CF-ItemKNN,Recall@10,Essence (K=3),CF (ItemKNN),0.017467,0.0,0.017467,0.013243,0.022158,1.0,0.2012,1482,1,0.0,0.0,True
Amazon decile 2 vs CF-ItemKNN,Recall@10,Essence (K=3),CF (ItemKNN),0.017622,0.00041,0.017212,0.012678,0.022053,1.0,0.1853,1524,2,0.0,0.0,True
