system,dataset,recall@10,lt_recall@10,n_users,n_lt_users,train_seconds,epochs_run,best_val_loss,lr,seed,K,embed_init
MIND (K2),lastfm,0.0069858860292335,0.0017531556802244,99,92,26.157001972198486,6,4.4368157386779785,0.001,42,2,pretrained
ComiRec (SA) (K2),lastfm,0.012782409708886283,0.0,99,92,32.255983114242554,9,4.189668655395508,0.001,42,2,pretrained
