dataset,system,Recall@10,LT-Recall@10,Lift_vs_random,LT_content_ratio
Amazon Books,Random,0.0001,0.0,1.0,0.0
Amazon Books,Popularity,0.0021,0.0,9.6,0.0
Amazon Books,CF (ItemKNN),0.0031,0.0137,17.9,1.105
Amazon Books,Content (Avg Emb),0.0173,0.0124,78.0,1.0
Amazon Books,Essence (K=3),0.0221,0.0197,99.7,1.588
